Event_ID,Timestamp_Local,Rain_ISCO_Raw_mm,Rain_SWMM_Primary_mm,Rain_SWMM_Primary_in,Rain_Gauge_mm,Rain_Fill_Flag,Depth_m,Depth_ft,Velocity_m_s,Velocity_ft_s,Flow_CMS,Flow_LPS,Flow_CFS,Flow_GPM,Flow_MGD,Flow_MLD,Original_QC,Instrument_Status,Score_Group,Use_for_Score,Calibration_File_Eligible,Notes,Model_Flow_CMS,Model_Depth_m,Model_Velocity_m_s,Hours_From_Rainfall_Onset,Observed_Excess_CMS,Modeled_Excess_CMS
E04,2024-06-16 09:25:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.71,2.329396325459315,0.018128889093866,18.128889093866068,0.6402156763807095,287.3487503339929,0.4137821987319984,1.5663360177100285,OK,ACTIVE,CALIBRATION,1,1,,0.00017563553995809318,0.006225958205759526,0.2312351589202881,14.166666666666666,0.005530867124120601,0.00017563553995809318
E04,2024-06-16 09:30:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.076,0.2493438320209971,0.687,2.253937007874013,0.0178874067610362,17.887406761036235,0.6316878082776965,283.52117732567945,0.4082704936233237,1.545471944153531,OK,ACTIVE,CALIBRATION,1,1,,0.0001638837020126052,0.0059959139943122864,0.2257042465209961,14.25,0.005289384791290801,0.0001638837020126052
E04,2024-06-16 09:35:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.689,2.26049868766404,0.0175926825150334,17.592682515033406,0.6212797197553646,278.8497027889029,0.4015435703187985,1.5200077692988865,OK,ACTIVE,CALIBRATION,1,1,,0.00015327393502971126,0.005780833554267883,0.220476131772995,14.333333333333334,0.004994660545288,0.00015327393502971126
E04,2024-06-16 09:40:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.694,2.276902887139105,0.0177203507480888,17.7203507480888,0.6257882808566372,280.87328553773386,0.4044575294647984,1.5310383046348726,OK,ACTIVE,CALIBRATION,1,1,,0.00014376923892719365,0.005581600847840309,0.21558148140907288,14.416666666666666,0.005122328778343399,0.00014376923892719365
E04,2024-06-16 09:45:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.681,2.234251968503935,0.0173884133421447,17.38841334214478,0.6140660219933286,275.6119703907735,0.3968812356851986,1.502358912761309,OK,ACTIVE,CALIBRATION,1,1,,0.00013523387641127158,0.005396900434792042,0.2109971137046814,14.5,0.0047903913723993,0.00013523387641127158
E04,2024-06-16 09:50:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.688,2.2572178477690263,0.0175671488684223,17.56714886842233,0.6203780075351101,278.4449862391367,0.4009607784895985,1.5178016622316892,OK,ACTIVE,CALIBRATION,1,1,,0.000127472891596133,0.005223770445585251,0.20665697164535524,14.583333333333334,0.004969126898676901,0.000127472891596133
E04,2024-06-16 09:55:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.673,2.20800524934383,0.0171841441692561,17.184144169256147,0.6068523242312923,272.37423799264394,0.3922189010515985,1.484710056223731,OK,ACTIVE,CALIBRATION,1,1,,0.00012031900613430334,0.005059425008296967,0.2024965424537659,14.666666666666666,0.004586122199510701,0.00012031900613430334
E04,2024-06-16 10:00:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.687,2.253937007874013,0.0175416152218112,17.541615221811252,0.6194762953148557,278.0402696893706,0.4003779866603986,1.5155955551644924,OK,ACTIVE,CALIBRATION,1,1,,0.00011367255979007292,0.004902298879623413,0.19847999982833864,14.75,0.004943593252065802,0.00011367255979007292
E04,2024-06-16 10:05:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.68,2.230971128608921,0.0173628796955337,17.362879695533703,0.6131643097730741,275.2072538410073,0.3962984438559986,1.5001528056941118,OK,ACTIVE,CALIBRATION,1,1,,0.00010747724149747217,0.004751669333875179,0.19459186506271364,14.833333333333334,0.004764857725788302,0.00010747724149747217
E04,2024-06-16 10:10:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.681,2.234251968503935,0.0173884133421447,17.38841334214478,0.6140660219933286,275.6119703907735,0.3968812356851986,1.502358912761309,OK,ACTIVE,CALIBRATION,1,1,,0.00010170189259852517,0.0046073325544595724,0.19082979454994203,14.916666666666666,0.0047903913723993,0.00010170189259852517
E04,2024-06-16 10:15:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.687,2.253937007874013,0.0175416152218112,17.541615221811252,0.6194762953148557,278.0402696893706,0.4003779866603986,1.5155955551644924,OK,ACTIVE,CALIBRATION,1,1,,9.632223755817748e-05,0.00446921161338687,0.18719460582733155,15.0,0.004943593252065802,9.632223755817748e-05
E04,2024-06-16 10:20:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.686,2.2506561679790003,0.0175160815752001,17.516081575200175,0.6185745830946012,277.63555313960444,0.3997951948311986,1.5133894480972951,OK,ACTIVE,CALIBRATION,1,1,,9.130973515121162e-05,0.004337078281491995,0.18368317408561707,15.083333333333334,0.004918059605454699,9.130973515121162e-05
E04,2024-06-16 10:25:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.693,2.273622047244092,0.0176948171014777,17.694817101477724,0.6248865686363827,280.46856898796767,0.4038747376355985,1.5288321975676755,OK,ACTIVE,CALIBRATION,1,1,,8.665198388891566e-05,0.004211095214635134,0.18030271182060242,15.166666666666666,0.0050967951317323,8.665198388891566e-05
E04,2024-06-16 10:30:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.69,2.2637795275590524,0.0176182161616444,17.61821616164449,0.6221814319756193,279.25441933866915,0.4021263621479986,1.522213876366084,OK,ACTIVE,CALIBRATION,1,1,,8.233143971947539e-05,0.0040912689417600635,0.17705648918151856,15.25,0.005020194191898999,8.233143971947539e-05
E04,2024-06-16 10:35:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.688,2.2572178477690263,0.0175671488684223,17.56714886842233,0.6203780075351101,278.4449862391367,0.4009607784895985,1.5178016622316892,OK,ACTIVE,CALIBRATION,1,1,,7.832202061772096e-05,0.003977333195507526,0.17394043664932252,15.333333333333334,0.004969126898676901,7.832202061772096e-05
E04,2024-06-16 10:40:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.685,2.2473753280839874,0.017490547928589,17.4905479285891,0.6176728708743467,277.23083658983825,0.3992124030019986,1.511183341030098,OK,ACTIVE,CALIBRATION,1,1,,7.460195639985287e-05,0.0038690952301025394,0.1709522651195526,15.416666666666666,0.0048925259588436,7.460195639985287e-05
E04,2024-06-16 10:45:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.676,2.2178477690288694,0.0172607451090893,17.260745109089385,0.609557460892056,273.5883876419425,0.3939672765391986,1.491328377425323,OK,ACTIVE,CALIBRATION,1,1,,7.115140863974976e-05,0.0037663773447275165,0.1680900125026703,15.5,0.0046627231393439016,7.115140863974976e-05
E04,2024-06-16 10:50:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.683,2.240813648293961,0.0174394806353669,17.439480635366937,0.6158694464338376,276.42140349030586,0.3980468193435986,1.5067711268957034,OK,ACTIVE,CALIBRATION,1,1,,6.79470775707407e-05,0.003668853943794966,0.16534748368263247,15.583333333333334,0.004841458665621502,6.79470775707407e-05
E04,2024-06-16 10:55:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.678,2.2244094488188955,0.0173118124023115,17.311812402311542,0.6113608853325649,274.3978207414749,0.3951328601975986,1.4957405915597173,OK,ACTIVE,CALIBRATION,1,1,,6.496301302824819e-05,0.0035760671496391297,0.1627143231868744,15.666666666666666,0.0047137904325661,6.496301302824819e-05
E04,2024-06-16 11:00:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.673,2.20800524934383,0.0171841441692561,17.184144169256147,0.6068523242312923,272.37423799264394,0.3922189010515985,1.484710056223731,OK,ACTIVE,CALIBRATION,1,1,,6.217934362100279e-05,0.003487691366672516,0.1601838453769684,15.75,0.004586122199510701,6.217934362100279e-05
E04,2024-06-16 11:05:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.675,2.214566929133856,0.0172352114624783,17.235211462478304,0.6086557486718015,273.1836710921764,0.3933844847099986,1.4891222703581255,OK,ACTIVE,CALIBRATION,1,1,,5.95798570891732e-05,0.0034034807659685615,0.15775118136405947,15.833333333333334,0.0046371894927328995,5.95798570891732e-05
E04,2024-06-16 11:10:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.693,2.273622047244092,0.0176948171014777,17.694817101477724,0.6248865686363827,280.46856898796767,0.4038747376355985,1.5288321975676755,OK,ACTIVE,CALIBRATION,1,1,,5.714304697014463e-05,0.003322977185994387,0.1554051218032837,15.916666666666666,0.0050967951317323,5.714304697014463e-05
E04,2024-06-16 11:15:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.684,2.244094488188974,0.017465014281978,17.465014281978014,0.6167711586540922,276.826120040072,0.3986296111727985,1.5089772339629006,OK,ACTIVE,CALIBRATION,1,1,,5.484283123874724e-05,0.0032455186486244204,0.15312798972129824,16.0,0.004866992312232601,5.484283123874724e-05
E04,2024-06-16 11:20:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.678,2.2244094488188955,0.0173118124023115,17.311812402311542,0.6113608853325649,274.3978207414749,0.3951328601975986,1.4957405915597173,OK,ACTIVE,CALIBRATION,1,1,,5.266090764476073e-05,0.0031706509664654733,0.1509077400684357,16.083333333333332,0.0047137904325661,5.266090764476073e-05
E04,2024-06-16 11:25:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.074,0.2427821522309708,0.687,2.253937007874013,0.0171979166768009,17.19791667680096,0.6073386957451566,272.5925366876978,0.3925332511711475,1.485900000875603,OK,ACTIVE,CALIBRATION,1,1,,5.058381981473422e-05,0.003098050530999899,0.14873579778671264,16.166666666666668,0.004599894707055501,5.058381981473422e-05
E04,2024-06-16 11:30:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.671,2.2014435695538035,0.0171330768760339,17.13307687603399,0.6050488997907834,271.5648048931116,0.3910533173931986,1.480297842089337,OK,ACTIVE,CALIBRATION,1,1,,4.860444727667999e-05,0.00302759215682745,0.0,16.25,0.004535054906288499,4.860444727667999e-05
E04,2024-06-16 11:35:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.687,2.253937007874013,0.0175416152218112,17.541615221811252,0.6194762953148557,278.0402696893706,0.4003779866603986,1.5155955551644924,OK,ACTIVE,CALIBRATION,1,1,,4.671717276936328e-05,0.0029591912515461445,0.0,16.333333333333332,0.004943593252065802,4.671717276936328e-05
E04,2024-06-16 11:40:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.681,2.234251968503935,0.0173884133421447,17.38841334214478,0.6140660219933286,275.6119703907735,0.3968812356851986,1.502358912761309,OK,ACTIVE,CALIBRATION,1,1,,4.4915139541981105e-05,0.0028927073009312153,0.0,16.416666666666668,0.0047903913723993,4.4915139541981105e-05
E04,2024-06-16 11:45:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.678,2.2244094488188955,0.0173118124023115,17.311812402311542,0.6113608853325649,274.3978207414749,0.3951328601975986,1.4957405915597173,OK,ACTIVE,CALIBRATION,1,1,,4.3194490672206764e-05,0.0028280994281172753,0.0,16.5,0.0047137904325661,4.3194490672206764e-05
E04,2024-06-16 11:50:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.683,2.240813648293961,0.0174394806353669,17.439480635366937,0.6158694464338376,276.42140349030586,0.3980468193435986,1.5067711268957034,OK,ACTIVE,CALIBRATION,1,1,,4.155749416222894e-05,0.00276555697247386,0.0,16.583333333333332,0.004841458665621502,4.155749416222894e-05
E04,2024-06-16 11:55:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.075,0.2460629921259839,0.687,2.253937007874013,0.0175416152218112,17.541615221811252,0.6194762953148557,278.0402696893706,0.4003779866603986,1.5155955551644924,OK,ACTIVE,CALIBRATION,1,1,,4.000933872635722e-05,0.002705393323302269,0.0,16.666666666666668,0.004943593252065802,4.000933872635722e-05
E04,2024-06-16 12:00:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.074,0.2427821522309708,0.684,2.244094488188974,0.0171228166039765,17.1228166039765,0.6046865617026014,271.4021762654808,0.3908191321704001,1.4794113545835696,OK,ACTIVE,CALIBRATION,1,1,,3.855347911211157e-05,0.0026478693544864655,0.0,16.75,0.0045247946342311,3.855347911211157e-05
E02,2024-06-12 18:50:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.063,0.2066929133858265,0.592,1.9422572178477668,0.0116856488069258,11.685648806925856,0.4126747930409474,185.2213097077302,0.26671868485178,1.009640056918394,OK,ACTIVE,VALIDATION,1,1,,0.0,3.0479999230010435e-05,0.0,-0.25,0.0,0.0
E02,2024-06-12 18:55:00,0.0,0.0,0.0,0.0,ORIGINAL_ISCO,0.063,0.2066929133858265,0.592,1.9422572178477668,0.0116856488069258,11.685648806925856,0.4126747930409474,185.2213097077302,0.26671868485178,1.009640056918394,OK,ACTIVE,VALIDATION,1,1,,0.0,3.0479999230010435e-05,0.0,-0.16666666666666666,0.0,0.0
