r,Node_ID,Sensor_Index,pivot_order,Energy_Weighted_Modal_Exposure,Baseline_Systemwise_Mean_NSE,Dropout_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE,Delta_Systemwise_Mean_NSE_z,Energy_Weighted_Modal_Exposure_z
58,189,42,21,0.00152460367343514,0.9999379757367983,0.9997403587475098,0.00019761698928849578,-0.45429904007582117,-0.793689192578311
58,99,13,22,0.02662419103930337,0.9999379757367983,0.9939491097926536,0.005988865944144778,-0.2976485385837614,0.5767280828834878
58,152,31,23,0.007307948009633763,0.9999379757367983,0.9987422596695527,0.0011957160672457783,-0.427300939610867,-0.4779232450054679
58,96,12,24,0.02849369228541793,0.9999379757367983,0.9915576727171378,0.00838030301966056,-0.23296131479378562,0.6788013467514306
58,137,26,25,0.010192392037530452,0.9999379757367983,0.9987904769793262,0.0011474987574722414,-0.4286051946714768,-0.320434921858467
58,110,14,26,0.02337614348934946,0.9999379757367983,0.9950188325682044,0.004919143168593953,-0.3265840256529188,0.3993872999815678
58,203,44,27,0.0009987505903290138,0.9999379757367983,0.9997264397516291,0.00021153598516928588,-0.4539225379254235,-0.8224003478231756
58,125,23,28,0.009507713598354521,0.9999379757367983,0.9976778562231059,0.0022601195136925044,-0.39850933783799963,-0.3578178137564773
58,Stor-01,76,29,0.017984925245456352,0.9999379757367983,0.9561368627341507,0.04380111300264771,0.7251545752918945,0.10503112155041032
58,197,43,30,0.0009481809274095038,0.9999379757367983,0.9997628649254385,0.00017511081135988428,-0.4549078213744096,-0.825161410731063
58,127,24,31,0.0021340261589627694,0.9999379757367983,0.9997206129032795,0.0002173628335188892,-0.4537649244774093,-0.7604152151997973
58,HartleyRd,75,32,0.014472426368970535,0.9999379757367983,0.9603126044855806,0.03962537125121759,0.6122027673896744,-0.08674849100696982
58,154,32,33,0.007386277003805889,0.9999379757367983,0.9990575719049455,0.0008804038318529208,-0.43582998406844536,-0.4736465449458885
58,31,4,34,0.03420276997123746,0.9999379757367983,0.9897898516628273,0.010148124073971086,-0.1851426047254256,0.9905123949672989
58,186,41,35,0.0010314643908073589,0.9999379757367983,0.9997732163748517,0.0001647593619466534,-0.45518782310709155,-0.8206142006380431
58,183,38,36,0.0011896074094146925,0.9999379757367983,0.9997807904264636,0.00015718531033461966,-0.4553926975638108,-0.8119797190613508
58,118,19,37,0.0019634304954573713,0.9999379757367983,0.9996835143620547,0.00025446137474357855,-0.45276142676339753,-0.7697296011687308
58,124,22,38,0.0018102848128712093,0.9999379757367983,0.9996945691079325,0.00024340662886581507,-0.453060452327506,-0.7780912322194412
58,114,15,39,0.0019921658884357266,0.9999379757367983,0.9998232274205248,0.00011474831627367719,-0.4565405978618782,-0.7681606718321365
58,116,17,40,0.0019620839680466015,0.9999379757367983,0.9997700611985774,0.00016791453822099603,-0.4551024771049555,-0.7698031204819651
58,J288,59,41,0.01444542091258973,0.9999379757367983,0.9648695518486348,0.03506842388816359,0.4889395308650683,-0.08822296719721634
58,78,9,42,0.031791000512700916,0.9999379757367983,0.9910174251982665,0.008920550538531712,-0.218347879001142,0.8588317230011884
58,115,16,43,0.0019791537275503043,0.9999379757367983,0.9997383180237874,0.0001996577130109081,-0.4542438394797123,-0.7688711253471102
58,84,10,44,0.031106579329597723,0.9999379757367983,0.9931184876855018,0.006819488051296534,-0.2751806097052069,0.8214628770777656
58,136,25,45,0.00038408709672533637,0.9999379757367983,0.9993002140651687,0.0006377616716297105,-0.4423933379111789,-0.8559604800258128
58,16,1,46,0.03964192295029834,0.9999379757367983,0.9897792922867386,0.010158683450059767,-0.18485697867608297,1.2874857713711185
58,J116,65,47,0.0007766870529941528,0.9999379757367983,0.9996767247749133,0.00026125096188510643,-0.45257777169366464,-0.8345248382929943
58,8,0,48,0.039602498788286894,0.9999379757367983,0.9928539593938452,0.007084016342953211,-0.2680252465236418,1.2853332438453249
58,J110,66,49,0.00011513502905117248,0.9999379757367983,0.999926284282926,1.169145387233339e-05,-0.4593282364702705,-0.8706450465264182
58,62,8,50,0.032924572964886226,0.9999379757367983,0.9802329468395302,0.019705028897268134,0.07336707858321043,0.920723866836781
58,332,50,51,7.365545878901455e-05,0.9999379757367983,0.9994622131322725,0.0004757626045258265,-0.44677533483462134,-0.8729097976889529
58,J211,58,52,5.155817428359245e-05,0.9999379757367983,0.9997334848982895,0.00020449083850884275,-0.45411310575734476,-0.874116291643838
58,J86,67,53,5.3913997228440494e-05,0.9999379757367983,0.999915980931661,2.199480513732964e-05,-0.4590495357693868,-0.8739876656065054
58,150,30,54,0.00016043171094341823,0.9999379757367983,0.9967660252353348,0.0031719505014635514,-0.3738447477601449,-0.8681718841400659
58,34,5,55,0.03390551652008223,0.9999379757367983,0.9709356908084968,0.029002284928301467,0.3248533868242263,0.9742825956994544
58,138,27,56,0.0004820245022430246,0.9999379757367983,0.9998157510380502,0.00012222469874815158,-0.4563383653083993,-0.8506131764833706
58,J136,57,57,2.6159766838543197e-05,0.9999379757367983,0.9996413809739056,0.00029659476289262105,-0.45162173885936213,-0.8755030242551973
58,356,53,58,0.000257333223527427,0.9999379757367983,0.9993453882065318,0.0005925875302665023,-0.4436152767285536,-0.86288113951834
59,OF-03,73,1,0.004330221873527389,0.9999429719967803,0.999344785771857,0.0005981862249236223,-0.44006109018331774,-0.6267593678387773
59,J305,71,2,0.004935624452200316,0.9999429719967803,0.9566551125839984,0.043287859412782174,0.7179697404780659,-0.5936396080550507
59,176,35,3,0.005846044530664296,0.9999429719967803,0.9987044639188584,0.0012385080779222064,-0.42269125827911186,-0.5438332554506313
59,179,36,4,0.0042883638062333656,0.9999429719967803,0.9992243864117828,0.0007185855849976165,-0.43679505040025274,-0.6290492971893064
59,117,18,5,0.003172331180594343,0.9999429719967803,0.9992112217096318,0.0007317502871487487,-0.4364379352051938,-0.6901040957218634
59,185,40,6,0.0008983134693706985,0.9999429719967803,0.9998229252399001,0.00012004675688032763,-0.45303144586895566,-0.8145087860764384
59,OF-04,74,7,0.047364568029933884,0.9999429719967803,0.9506757666884187,0.049267205308361844,0.8801697850602577,1.727520672187185
59,184,39,8,0.004769972901217757,0.9999429719967803,0.9990979267824484,0.0008450452143322052,-0.4333646153871051,-0.6027019077042699
